"seller","day_number","day_of_week","floor"
Marjorie Green,6.0,saturday ,95303142
Meander Smith,6.0,saturday ,53094397
Michael O'Leary,6.0,saturday ,131118669
Michel DeFrance,6.0,saturday ,480574641
Morningstar Greene,6.0,saturday ,64598714
Reginald Blotchet-Halls,6.0,saturday ,92451664
Sheryl Hunter,6.0,saturday ,143802265
Stearns MacFeather,6.0,saturday ,27623848
Sylvia Panteley,6.0,saturday ,87097890
Abraham Bennet,7.0,sunday   ,232328748
Albert Ringer,7.0,sunday   ,362985486
Ann Dull,7.0,sunday   ,34138287
Anne Ringer,7.0,sunday   ,49050828
Burt Gringlesby,7.0,sunday   ,112782280
Charlene Locksley,7.0,sunday   ,93745116
Cheryl Carson,7.0,sunday   ,69553595
Dean Straight,7.0,sunday   ,176873005
Dirk Stringer,7.0,sunday   ,698820601
Heather McBadden,7.0,sunday   ,266458384
Innes del Castillo,7.0,sunday   ,244679491
Johnson White,7.0,sunday   ,88933984
Livia Karsen,7.0,sunday   ,137975384
Marjorie Green,7.0,sunday   ,104815534
Meander Smith,7.0,sunday   ,56678279
Michael O'Leary,7.0,sunday   ,125981634
Michel DeFrance,7.0,sunday   ,438321488
Morningstar Greene,7.0,sunday   ,68473053
Reginald Blotchet-Halls,7.0,sunday   ,80496472
Sheryl Hunter,7.0,sunday   ,148514539
Stearns MacFeather,7.0,sunday   ,27431434
Sylvia Panteley,7.0,sunday   ,95337213
